Date,Venue,Race,Length
23/10/2019,Happy Valley,1,1650
23/10/2019,Happy Valley,2,1000
23/10/2019,Happy Valley,3,1650
23/10/2019,Happy Valley,4,1650
23/10/2019,Happy Valley,5,1200
23/10/2019,Happy Valley,6,1200
23/10/2019,Happy Valley,7,1650
23/10/2019,Happy Valley,8,1200
23/10/2019,Happy Valley,9,1200
20/10/2019,Sha Tin,1,1400
20/10/2019,Sha Tin,2,1200
20/10/2019,Sha Tin,3,1200
20/10/2019,Sha Tin,4,1000
20/10/2019,Sha Tin,5,1600
20/10/2019,Sha Tin,6,1400
20/10/2019,Sha Tin,7,1200
20/10/2019,Sha Tin,8,1600
20/10/2019,Sha Tin,9,1400
20/10/2019,Sha Tin,10,1400
16/10/2019,Happy Valley,1,1800
16/10/2019,Happy Valley,2,1000
16/10/2019,Happy Valley,3,1650
16/10/2019,Happy Valley,4,1800
16/10/2019,Happy Valley,5,1800
16/10/2019,Happy Valley,6,1200
16/10/2019,Happy Valley,7,1200
16/10/2019,Happy Valley,8,1650
12/10/2019,Sha Tin,1,1600
12/10/2019,Sha Tin,2,1000
12/10/2019,Sha Tin,3,1200
12/10/2019,Sha Tin,4,1400
12/10/2019,Sha Tin,5,1400
12/10/2019,Sha Tin,6,1200
12/10/2019,Sha Tin,7,1800
12/10/2019,Sha Tin,8,1600
12/10/2019,Sha Tin,9,1000
12/10/2019,Sha Tin,10,1400
09/10/2019,Happy Valley,2,1650
09/10/2019,Happy Valley,3,1200
09/10/2019,Happy Valley,4,1200
09/10/2019,Happy Valley,5,1650
09/10/2019,Happy Valley,6,1200
09/10/2019,Happy Valley,7,1650
09/10/2019,Happy Valley,8,1200
09/10/2019,Happy Valley,9,1000
06/10/2019,Sha Tin,1,1800
06/10/2019,Sha Tin,2,1800
06/10/2019,Sha Tin,3,1650
06/10/2019,Sha Tin,4,1200
06/10/2019,Sha Tin,5,1400
06/10/2019,Sha Tin,6,1650
06/10/2019,Sha Tin,7,1650
06/10/2019,Sha Tin,8,1400
06/10/2019,Sha Tin,10,1400
01/10/2019,Sha Tin,1,1200
01/10/2019,Sha Tin,2,1200
01/10/2019,Sha Tin,3,1000
01/10/2019,Sha Tin,4,1600
01/10/2019,Sha Tin,5,1400
01/10/2019,Sha Tin,6,1800
01/10/2019,Sha Tin,7,1400
01/10/2019,Sha Tin,8,1200
01/10/2019,Sha Tin,9,1400
01/10/2019,Sha Tin,10,1200
25/09/2019,Happy Valley,1,1800
25/09/2019,Happy Valley,2,1200
25/09/2019,Happy Valley,3,1200
25/09/2019,Happy Valley,4,1800
25/09/2019,Happy Valley,5,1200
25/09/2019,Happy Valley,6,1000
25/09/2019,Happy Valley,7,1200
25/09/2019,Happy Valley,8,1650
25/09/2019,Happy Valley,9,1200
21/09/2019,Sha Tin,1,1200
21/09/2019,Sha Tin,2,1000
21/09/2019,Sha Tin,3,1400
21/09/2019,Sha Tin,4,1200
21/09/2019,Sha Tin,5,1400
21/09/2019,Sha Tin,6,1000
21/09/2019,Sha Tin,7,1600
21/09/2019,Sha Tin,8,1600
21/09/2019,Sha Tin,9,1200
21/09/2019,Sha Tin,10,1400
15/09/2019,Sha Tin,1,1800
15/09/2019,Sha Tin,2,1650
15/09/2019,Sha Tin,3,1600
15/09/2019,Sha Tin,4,1400
15/09/2019,Sha Tin,6,1200
15/09/2019,Sha Tin,7,1400
15/09/2019,Sha Tin,8,1650
15/09/2019,Sha Tin,9,1200
15/09/2019,Sha Tin,10,1400
11/09/2019,Happy Valley,1,1650
11/09/2019,Happy Valley,3,1650
11/09/2019,Happy Valley,4,1650
11/09/2019,Happy Valley,5,1000
11/09/2019,Happy Valley,6,1200
11/09/2019,Happy Valley,7,1650
11/09/2019,Happy Valley,8,1200
08/09/2019,Sha Tin,1,1200
08/09/2019,Sha Tin,2,1600
08/09/2019,Sha Tin,3,1400
08/09/2019,Sha Tin,4,1200
08/09/2019,Sha Tin,5,1200
08/09/2019,Sha Tin,6,1400
08/09/2019,Sha Tin,7,1200
08/09/2019,Sha Tin,8,1200
08/09/2019,Sha Tin,9,1200
08/09/2019,Sha Tin,10,1400
01/09/2019,Sha Tin,1,1600
01/09/2019,Sha Tin,2,1200
01/09/2019,Sha Tin,4,1200
01/09/2019,Sha Tin,6,1000
01/09/2019,Sha Tin,7,1200
